,text
115,"b'Chris Long gave his paychecks from the first six games of the NFL season to fund scholarships in Charlottesville, V\xe2\x80\xa6 https://t.co/KxUk5Wle6h'"
116,"b'Kat Creech, a wedding planner in Houston, turned a postponed wedding into a volunteer opportunity for Hurricane Har\xe2\x80\xa6 https://t.co/MCXiSuAVJN'"
117,"b'As we count down to the new year, we get to reflect and prepare for what\xe2\x80\x99s ahead. For all the bad news that seemed\xe2\x80\xa6 https://t.co/WaUHkVww2g'"
118,"b'RT @MBK_Alliance: I am my Brother\xe2\x80\x99s Keeper. \nWatch our new PSA with @BarackObama, @StephenCurry30 &amp; @chancetherapper, then take action to s\xe2\x80\xa6'"
119,"b'On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj'"
120,"b""There's no better time than the holiday season to reach out and give back to our communities. Great to hear from yo\xe2\x80\xa6 https://t.co/gp5dCy9oN2"""
121,"b'Happy Hanukkah, everybody, from the Obama family to yours. Chag Sameach!'"
122,b'Just got off a call to thank folks who are working hard to help more Americans across the country sign up for healt\xe2\x80\xa6 https://t.co/A9QvCySWJ8'
123,b'RT @ObamaFoundation: Watch: We hosted a Town Hall in New Delhi with @BarackObama and young leaders about how to drive change and make an im\xe2\x80\xa6'
124,b'Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a life\xe2\x80\xa6 https://t.co/KC9nmjZPuX'
125,"b'From the Obama family to yours, we wish you a Happy Thanksgiving full of joy and gratitude. https://t.co/xAvSQwjQkz'"
126,"b'ME:  Joe, about halfway through the speech, I\xe2\x80\x99m gonna wish you a happy birth--\nBIDEN:  IT\xe2\x80\x99S MY BIRTHDAY!\nME:  Joe.\xe2\x80\xa6 https://t.co/5qLUsDoaMi'"
127,"b'RT @ObamaFoundation: Today, we honor those who have honored our country with its highest form of service. https://t.co/IbJNCwIofL https://t\xe2\x80\xa6'"
128,b'This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all th\xe2\x80\xa6 https://t.co/ZvUKZIDGAj'
129,b'Every election matters - those who show up determine our future. Go vote tomorrow! https://t.co/j1wh8hLamw'
130,b'May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.'
131,"b'We grieve with all the families in Sutherland Springs harmed by this act of hatred, and we\xe2\x80\x99ll stand with the survivors as they recover...'"
132,"b'Starting today, you can sign up for 2018 health coverage. Head on over to https://t.co/ob1Ynoesod and find a plan t\xe2\x80\xa6 https://t.co/6eN1Y5TQGV'"
133,"b""Michelle and I are thinking of the victims of today's attack in NYC and everyone who keeps us safe. New Yorkers are as tough as they come."""
134,"b'Hello, #ObamaSummit! Thrilled to host civic leaders in Chicago from all over the world. Follow along at @ObamaFoundation.'"
135,"b'I\xe2\x80\x99ll let you and @ladygaga handle the singing, and we\xe2\x80\x99ll handle the donations. There\xe2\x80\x99s still time to give:\xe2\x80\xa6 https://t.co/0NnaR3bozh'"
136,b'Tonight the ex-Presidents are getting together in Texas to support all our fellow Americans rebuilding from this ye\xe2\x80\xa6 https://t.co/nFSou6JC6n'
137,"b""I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations, John, on receiving this year's Liberty Medal."""
138,b'Michelle &amp; I are praying for the victims in Las Vegas. Our thoughts are with their families &amp; everyone enduring another senseless tragedy.'
139,b'Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country. https://t.co/WBzcltmgqj'
140,"b""We're expanding our efforts to help Puerto Rico &amp; the USVI, where our fellow Americans need us right now. Join us a\xe2\x80\xa6 https://t.co/gkrp1RwXR4"""
141,"b'Prosecutor, soldier, family man, citizen. Beau made us want to be better. What a legacy to leave. What a testament\xe2\x80\xa6 https://t.co/XDtkLu32wd'"
142,b'RT @gatesfoundation: President @BarackObama addresses #Goalkeepers17 starting at 12:40 PM. Tune in here: https://t.co/XmHBErSHYw'
