id,created_at,text
1044690296917962754,2018-09-25 20:49:10,"b'The antidote to government by a powerful few is government by the organized, energized many. This National Voter Re\xe2\x80\xa6 https://t.co/3W5pfaUdKd'"
1040636488445255680,2018-09-14 16:20:47,"b'The first class of Obama Fellows is full of leaders like Keith\xe2\x80\x94hardworking, innovative, and dedicated to partnering\xe2\x80\xa6 https://t.co/nOd6FzH23n'"
1039512025406349312,2018-09-11 13:52:34,"b'We will always remember everyone we lost on 9/11, thank the first responders who keep us safe, and honor all who de\xe2\x80\xa6 https://t.co/ku270JQnwl'"
1038463712506667008,2018-09-08 16:26:57,"b""RT @nowthisnews: If you still don't think the midterms will affect you, @BarackObama is back to spell out just how important they are https\xe2\x80\xa6"""
1038081548833222658,2018-09-07 15:08:22,b'Today I\xe2\x80\x99m at the University of Illinois to deliver a simple message to young people all over the country: You need\xe2\x80\xa6 https://t.co/brM6Vd7j2R'
1034892109868945409,2018-08-29 19:54:41,b'Yesterday I met with high school students on Chicago\xe2\x80\x99s Southwest side who spent the summer learning to code some pr\xe2\x80\xa6 https://t.co/hY9B0mSQB9'
1033831571944554498,2018-08-26 21:40:29,b'Congratulations to Hawaii for winning the Little League World Series! You make America very proud. \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe https://t.co/8Un7LPXgX1'
1033521851312623616,2018-08-26 01:09:45,b'Our statement on the passing of Senator John McCain: https://t.co/3GBjNYxoj5'
1030129887623958538,2018-08-16 16:31:18,"b'Aretha helped define the American experience. In her voice, we could feel our history, all of it and in every shade\xe2\x80\xa6 https://t.co/hUcQpbdydq'"
1026481404782235648,2018-08-06 14:53:32,"b'Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals, the idea that a\xe2\x80\xa6 https://t.co/mMVBHEBzsv'"
1024691324933562369,2018-08-01 16:20:24,"b'I\xe2\x80\x99m confident that, together, they\xe2\x80\x99ll strengthen this country we love by restoring opportunity, repairing our allia\xe2\x80\xa6 https://t.co/CgiImgqCDD'"
1024691241093607425,2018-08-01 16:20:04,"b'Today I\xe2\x80\x99m proud to endorse such a wide and impressive array of Democratic candidates \xe2\x80\x93 leaders as diverse, patrioti\xe2\x80\xa6 https://t.co/i0MECnqfJr'"
1019617669958586368,2018-07-18 16:19:30,"b""Mandela Day is about taking action to change the world for the better. In these young people, I see Madiba's exampl\xe2\x80\xa6 https://t.co/iT1v545C2L"""
1017766186296193024,2018-07-13 13:42:22,"b'This week, I\xe2\x80\x99m traveling to Africa for the first time since I left office \xe2\x80\x93 a continent of wonderful diversity, thr\xe2\x80\xa6 https://t.co/UDROtalUlX'"
1008769520759173121,2018-06-18 17:52:50,b'RT @MichelleObama: Sometimes truth transcends party. https://t.co/TeFM7NmNzU'
1006554191676964864,2018-06-12 15:09:54,b'Congratulations to the @Capitals! This @NHLBlackhawks fan knows what it\xe2\x80\x99s like to lift that cup \xe2\x80\x93 and I\xe2\x80\x99m happy for\xe2\x80\xa6 https://t.co/9LG5lxLQC7'
1005117568913412098,2018-06-08 16:01:17,"b'\xe2\x80\x9cLow plastic stool, cheap but delicious noodles, cold Hanoi beer.\xe2\x80\x9d This is how I\xe2\x80\x99ll remember Tony. He taught us abo\xe2\x80\xa6 https://t.co/l79o6OyNAT'"
1002573982212788224,2018-06-01 15:33:58,"b'This National Gun Violence Awareness Day, show your commitment to keeping our kids safe from gun violence. Then, fo\xe2\x80\xa6 https://t.co/Nr5qxK8sgu'"
1001131488103030784,2018-05-28 16:02:01,"b'We can never truly repay the debt we owe our fallen heroes. But we can remember them, honor their sacrifice, and af\xe2\x80\xa6 https://t.co/iHLhFdhoZQ'"
999389510550028289,2018-05-23 20:40:01,b'This Center is for the leaders of tomorrow who are ready to step up and build the world as it should be. Michelle a\xe2\x80\xa6 https://t.co/XN7anzCTst'
995673081531248642,2018-05-13 14:32:16,"b'Happy Mother\xe2\x80\x99s Day to every mom out there, especially the remarkable moms in my life, @MichelleObama and my mother-\xe2\x80\xa6 https://t.co/QsZPuZ2OoJ'"
993938824752451586,2018-05-08 19:40:56,b'There are few issues more important to the security of the US than the potential spread of nuclear weapons or the p\xe2\x80\xa6 https://t.co/ym4YTPpbWl'
991709079600091136,2018-05-02 16:00:44,b'RT @MichelleObama: Happy #CollegeSigningDay! So excited to be in Philly to celebrate all the young people making the commitment to higher e\xe2\x80\xa6'
988496127996678145,2018-04-23 19:13:36,"b'These talented young people will create a better future not just in Africa, but around the world. I can\xe2\x80\x99t wait to s\xe2\x80\xa6 https://t.co/0YgQxnOrz9'"
