,text
140,b'Great meetings and dinner tonight in Vietnam with Kim Jong Un of North Korea. Very good dialogue. Resuming tomorrow!'
141,b'RT @WhiteHouse: https://t.co/Wo4C4hsP43'
142,b'RT @WhiteHouse: https://t.co/t6egb4Neir'
143,b'All false reporting (guessing) on my intentions with respect to North Korea. Kim Jong Un and I will try very hard t\xe2\x80\xa6 https://t.co/aCCAjDyIXB'
144,"b'Fiat Chrysler will be adding more than 6,500 JOBS in Michigan (Detroit area), doubling its hourly workforce as part\xe2\x80\xa6 https://t.co/boh9MFRdZ3'"
145,b'Michael Cohen was one of many lawyers who represented me (unfortunately). He had other clients also. He was just di\xe2\x80\xa6 https://t.co/nM5ua0wmo3'
146,"b'I have now spent more time in Vietnam than Da Nang Dick Blumenthal, the third rate Senator from Connecticut (how is\xe2\x80\xa6 https://t.co/EP8ww6rKtL'"
147,b'RT @IvankaTrump: No I did not. I support a minimum wage. I do not however believe in a minimum guarantee for people \xe2\x80\x9cunwilling to work\xe2\x80\x9d whi\xe2\x80\xa6'
148,b'RT @realDonaldTrump: Senate Democrats just voted against legislation to prevent the killing of newborn infant children. The Democrat positi\xe2\x80\xa6'
149,b'RT @realDonaldTrump: ....This will be remembered as one of the most shocking votes in the history of Congress. If there is one thing we sho\xe2\x80\xa6'
150,b'The Democrats should stop talking about what I should do with North Korea and ask themselves instead why they didn\xe2\x80\x99\xe2\x80\xa6 https://t.co/0nx5mXQo3D'
151,"b'Vietnam is thriving like few places on earth. North Korea would be the same, and very quickly, if it would denuclea\xe2\x80\xa6 https://t.co/Mg6y4NVVWe'"
152,"b'Just arrived in Vietnam. Thank you to all of the people for the great reception in Hanoi. Tremendous crowds, and so much love!'"
153,b'....This will be remembered as one of the most shocking votes in the history of Congress. If there is one thing we\xe2\x80\xa6 https://t.co/iu6xoJ8xmL'
154,b'Senate Democrats just voted against legislation to prevent the killing of newborn infant children. The Democrat pos\xe2\x80\xa6 https://t.co/MGj4b6eXtM'
155,"b'If a deal is made with China, our great American Farmers will be treated better than they have ever been treated before!'"
156,b'Heading over to Vietnam for my meeting with Kim Jong Un. Looking forward to a very productive Summit!'
157,b'China Trade Deal (and more) in advanced stages. Relationship between our two Countries is very strong. I have there\xe2\x80\xa6 https://t.co/InPk1QI5dW'
158,"b'...our foreign partners. Recovering American hostages is a priority of my Admin, and with Danny\xe2\x80\x99s release, we have\xe2\x80\xa6 https://t.co/awuDu1fG9i'"
159,b'...Danny\xe2\x80\x99s recovery reflects the best of what the United States &amp; its partners can accomplish.\nWe work every day to\xe2\x80\xa6 https://t.co/Gghg9zS0Sv'
160,"b'It is my honor today to announce that Danny Burch, a United States citizen who has been held hostage in Yemen for 1\xe2\x80\xa6 https://t.co/zRtBwYgOMK'"
161,"b'Congratulations to @DJohnsonPGA on his 20th PGA Tour WIN. Not only is Dustin a truly great golfer, he is a wonderfu\xe2\x80\xa6 https://t.co/9TKUEFX1yS'"
162,b'Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401\xe2\x80\xa6 https://t.co/bl7slkgcLx'
163,b'\xe2\x80\x9cWhy on earth would any Republican vote not to put up a Wall or against Border Security. Please explain that to me?\xe2\x80\x9d @Varneyco'
164,b'I hope our great Republican Senators don\xe2\x80\x99t get led down the path of weak and ineffective Border Security. Without s\xe2\x80\xa6 https://t.co/uc1Je2oSDv'
165,b'Former Senator Harry Reid (he got thrown out) is working hard to put a good spin on his failed career. He led throu\xe2\x80\xa6 https://t.co/IUKpCmO122'
166,b'Meeting for breakfast with our Nation\xe2\x80\x99s Governors - then off to Vietnam for a very important Summit with Kim Jong U\xe2\x80\xa6 https://t.co/ZIHISMKN6T'
167,"b'RT @realDonaldTrump: So funny to watch people who have failed for years, they got NOTHING, telling me how to negotiate with North Korea. Bu\xe2\x80\xa6'"
168,b'RT @IvankaTrump: This Admin is committed to ensuring more Americans have the skills needed to secure better jobs in our strong economy.  I\xe2\x80\xa6'
169,"b'Oil prices getting too high. OPEC, please relax and take it easy. World cannot take a price hike - fragile!'"
170,"b'Be nice if Spike Lee could read his notes, or better yet not have to use notes at all, when doing his racist hit on\xe2\x80\xa6 https://t.co/lr6Hyjb5pQ'"
171,"b'RT @realDonaldTrump: Highly respected Senator Richard Burr, head of Senate Intelligence, said, after interviewing over 200 witnesses and st\xe2\x80\xa6'"
172,"b'We have a State of Emergency at our Southern Border. Border Patrol, our Military and local Law Enforcement are doin\xe2\x80\xa6 https://t.co/5e9CMdHSDe'"
173,"b'....productive talks, I will be delaying the U.S. increase in tariffs now scheduled for March 1. Assuming both side\xe2\x80\xa6 https://t.co/ASdNbpcCvk'"
174,b'I am pleased to report that the U.S. has made substantial progress in our trade talks with China on important struc\xe2\x80\xa6 https://t.co/iFqrswXCmw'
175,"b'So funny to watch people who have failed for years, they got NOTHING, telling me how to negotiate with North Korea. But thanks anyway!'"
176,"b'The only Collusion with the Russians was with Crooked Hillary Clinton and the Democratic National Committee...And,\xe2\x80\xa6 https://t.co/ojVg7Xi9Fs'"
177,b'93% Approval Rating in the Republican Party. 52% Approval Rating overall! Not bad considering I get the most unfair\xe2\x80\xa6 https://t.co/HVOzsoxZub'
178,b'Poll: Suburban women are coming back into the Republican Party in droves \xe2\x80\x9cbecause of the Wall and Border Security.\xe2\x80\xa6 https://t.co/Jz0YqFbuS6'
179,"b'Chairman Kim realizes, perhaps better than anyone else, that without nuclear weapons, his country could fast become\xe2\x80\xa6 https://t.co/smNbOvs6UB'"
180,b'President Xi of China has been very helpful in his support of my meeting with Kim Jong Un. The last thing China wan\xe2\x80\xa6 https://t.co/wDFsPyFanZ'
181,"b'Very productive talks yesterday with China on Trade. Will continue today! I will be leaving for Hanoi, Vietnam, ear\xe2\x80\xa6 https://t.co/r4M2lwysxU'"
182,"b'HOLD THE DATE! We will be having one of the biggest gatherings in the history of Washington, D.C., on July 4th. It\xe2\x80\xa6 https://t.co/YvoeR0KhAV'"
183,b'RT @seanhannity: **REPORT: \xe2\x80\x9cChina is proposing that it could buy an additional $30 billion a year of U.S. agricultural products including s\xe2\x80\xa6'
184,b'RT @CortesSteve: Was wonderful to meet so many inspiring young patriots last night when I spoke to the \xe2\x81\xa6@TPUSA\xe2\x81\xa9 Latino conference! \n\n\xe2\x81\xa6@char\xe2\x80\xa6'
185,"b'RT @TomFitton: MASSIVE @JudicialWatch Update:  Lawsuit to Expose Coup Against @RealDonaldTrump, Another FBI Cover-up of potential Clinton e\xe2\x80\xa6'"
186,b'RT @PressSec: President @realDonaldTrump delivers more great news for our farmers. https://t.co/ACq0ujTFTS'
187,b'RT @GOPChairwoman: Drug trafficking at our southern border has exploded.\n\nCBP seized nearly 5X as much methamphetamine in 2018 than it did\xe2\x80\xa6'
188,b'RT @LouDobbs: #AmericaFirst \xe2\x80\x93@CLewandowski_ :The media doesn\xe2\x80\x99t want to give @realDonaldTrump the credit for once again exerting American do\xe2\x80\xa6'
189,b'So great being with you both in the Oval Office! https://t.co/9VoIV3NahE'
